Genotype,Tray,Seedling,SeedlingWeight,ResidMar,StudentResidMar,PearsonResidMar,ResidCond,StudentResidCond,PearsonResidCond
1,1,1,8,-7.288837649,-2.090331783,-1.869301722,-2.302952495,-1.360616251,-1.223523041
1,1,2,9,-6.288837649,-1.803546443,-1.612840841,-1.302952495,-0.769802392,-0.692238508
1,1,3,11,-4.288837649,-1.229975763,-1.09991908,0.6970475045,0.4118253262,0.3703305579
1,1,4,12,-3.288837649,-0.943190423,-0.843458199,1.6970475045,1.0026391854,0.9016150908
1,1,5,10,-5.288837649,-1.516761103,-1.356379961,-0.302952495,-0.178988533,-0.160953975
1,2,1,17,1.7111623513,0.4907362765,0.4388462034,-0.911468677,-0.512842197,-0.48424921
1,2,2,17,1.7111623513,0.4907362765,0.4388462034,-0.911468677,-0.512842197,-0.48424921
1,2,3,16,0.7111623513,0.2039509366,0.1823853228,-1.911468677,-1.075496965,-1.015533743
1,2,4,15,-0.288837649,-0.082834403,-0.074075558,-2.911468677,-1.638151733,-1.546818276
1,2,5,19,3.7111623513,1.0643069563,0.9517679646,1.0885313229,0.6124673388,0.5783198554
1,2,6,18,2.7111623513,0.7775216164,0.695307084,0.0885313229,0.0498125709,0.0470353225
1,2,7,18,2.7111623513,0.7775216164,0.695307084,0.0885313229,0.0498125709,0.0470353225
1,2,8,18,2.7111623513,0.7775216164,0.695307084,0.0885313229,0.0498125709,0.0470353225
1,2,9,24,8.7111623513,2.4982336559,2.2340723675,6.0885313229,3.4257411781,3.2347425201
1,3,1,12,-3.288837649,-0.943190423,-0.843458199,-2.062115124,-1.195813811,-1.095569871
1,3,2,12,-3.288837649,-0.943190423,-0.843458199,-2.062115124,-1.195813811,-1.095569871
1,3,3,16,0.7111623513,0.2039509366,0.1823853228,1.9378848759,1.1237730964,1.0295682612
1,3,4,15,-0.288837649,-0.082834403,-0.074075558,0.9378848759,0.5438763696,0.4982837282
1,3,5,15,-0.288837649,-0.082834403,-0.074075558,0.9378848759,0.5438763696,0.4982837282
1,3,6,14,-1.288837649,-0.369619743,-0.330536438,-0.062115124,-0.036020357,-0.033000805
1,4,1,17,1.7111623513,0.4907362765,0.4388462034,-1.878814298,-1.057123823,-0.998184977
1,4,2,20,4.7111623513,1.3510922963,1.2082288452,1.1211857018,0.6308404808,0.5956686219
1,4,3,20,4.7111623513,1.3510922963,1.2082288452,1.1211857018,0.6308404808,0.5956686219
1,4,4,19,3.7111623513,1.0643069563,0.9517679646,0.1211857018,0.0681857129,0.064384089
1,4,5,19,3.7111623513,1.0643069563,0.9517679646,0.1211857018,0.0681857129,0.064384089
1,4,6,18,2.7111623513,0.7775216164,0.695307084,-0.878814298,-0.494469055,-0.466900444
1,4,7,20,4.7111623513,1.3510922963,1.2082288452,1.1211857018,0.6308404808,0.5956686219
1,4,8,19,3.7111623513,1.0643069563,0.9517679646,0.1211857018,0.0681857129,0.064384089
1,4,9,19,3.7111623513,1.0643069563,0.9517679646,0.1211857018,0.0681857129,0.064384089
2,5,1,9,-2.738636806,-0.785498285,-0.702353207,-3.939208999,-2.284337094,-2.092840813
2,5,2,12,0.2613631939,0.0749644276,0.0670294349,-0.939208999,-0.544644865,-0.498987214
2,5,3,13,1.2613631939,0.3617853319,0.3234903154,0.0607910014,0.0352525443,0.0322973188
2,5,4,16,4.2613631939,1.2222480448,1.0928729572,3.0607910014,1.7749447731,1.6261509176
2,5,5,14,2.2613631939,0.6486062362,0.579951196,1.0607910014,0.6151499539,0.5635818517
2,5,6,14,2.2613631939,0.6486062362,0.579951196,1.0607910014,0.6151499539,0.5635818517
2,6,1,10,-1.738636806,-0.498677381,-0.445892326,-0.07232054,-0.041393952,-0.038422784
2,6,2,10,-1.738636806,-0.498677381,-0.445892326,-0.07232054,-0.041393952,-0.038422784
2,6,3,9,-2.738636806,-0.785498285,-0.702353207,-1.07232054,-0.613761805,-0.569707317
2,6,4,8,-3.738636806,-1.07231919,-0.958814087,-2.07232054,-1.186129659,-1.10099185
2,6,5,13,1.2613631939,0.3617853319,0.3234903154,2.9276794598,1.675709607,1.5554308144
2,6,6,9,-2.738636806,-0.785498285,-0.702353207,-1.07232054,-0.613761805,-0.569707317
2,6,7,11,-0.738636806,-0.211856477,-0.189431446,0.9276794598,0.5309739008,0.4928617485
2,7,1,12,0.2613631939,0.0749644276,0.0670294349,-2.842819629,-1.648543739,-1.510346099
2,7,2,16,4.2613631939,1.2222480448,1.0928729572,1.1571803708,0.6710458995,0.6147920328
2,7,3,17,5.2613631939,1.5090689491,1.3493338378,2.1571803708,1.2509433091,1.1460765658
2,7,4,15,3.2613631939,0.9354271405,0.8364120766,0.1571803708,0.0911484899,0.0835074999
2,7,5,15,3.2613631939,0.9354271405,0.8364120766,0.1571803708,0.0911484899,0.0835074999
2,7,6,15,3.2613631939,0.9354271405,0.8364120766,0.1571803708,0.0911484899,0.0835074999
2,8,1,9,-2.738636806,-0.785498285,-0.702353207,-0.100198056,-0.056798252,-0.053233678
2,8,2,6,-5.738636806,-1.645960998,-1.471735849,-3.100198056,-1.757377712,-1.647087276
2,8,3,8,-3.738636806,-1.07231919,-0.958814087,-1.100198056,-0.623658072,-0.584518211
2,8,4,8,-3.738636806,-1.07231919,-0.958814087,-1.100198056,-0.623658072,-0.584518211
2,8,5,13,1.2613631939,0.3617853319,0.3234903154,3.8998019435,2.2106410271,2.0719044541
2,8,6,9,-2.738636806,-0.785498285,-0.702353207,-0.100198056,-0.056798252,-0.053233678
2,8,7,9,-2.738636806,-0.785498285,-0.702353207,-0.100198056,-0.056798252,-0.053233678
2,8,8,10,-1.738636806,-0.498677381,-0.445892326,0.8998019435,0.5100615676,0.4780508553
